0	5	3	6	1	3	2	1.13575815419e-13
2	5	3	10	4	5	5	1.13575815419e-13
3	4	4	5	1	3	2	1.13575815419e-13
4	3	4	10	2	3	2	1.13575815419e-13
4	4	3	10	1	3	2	1.13575815419e-13
2	6	3	3	4	3	2	1.13575815419e-13
3	4	3	8	0	3	4	1.13575815419e-13
4	3	4	10	0	3	2	1.13575815419e-13
7	6	5	7	0	3	2	1.13575815419e-13
5	5	4	10	4	3	4	1.13575815419e-13
2	4	4	6	1	3	2	1.13575815419e-13
4	4	3	10	2	3	2	1.13575815419e-13
4	6	3	10	2	5	4	1.13575815419e-13
3	5	7	5	4	3	4	1.13575815419e-13
1	5	3	3	2	3	2	1.13575815419e-13
6	5	4	3	0	1	2	1.13575815419e-13
3	6	1	4	1	3	4	1.13575815419e-13
2	5	1	10	8	5	4	1.13575815419e-13
4	5	4	3	0	1	1	1.13575815419e-13
0	5	0	10	2	3	2	1.13575815419e-13
3	5	0	10	2	3	2	1.13575815419e-13
4	4	4	10	0	3	5	1.13575815419e-13
1	4	1	10	2	3	5	0.166666666666
2	6	3	1	1	1	2	0.166666666666
2	5	4	4	2	1	2	0.166666666666
3	5	3	4	2	5	7	0.166666666666
2	5	3	10	2	7	5	0.166666666666
6	6	4	3	1	3	4	0.166666666666
3	4	2	8	2	3	2	0.166666666666
3	5	4	10	4	3	2	0.166666666666
1	7	5	6	2	7	1	0.166666666666
5	5	2	6	0	3	5	0.166666666666
2	5	3	10	4	5	5	0.166666666666
3	5	2	8	0	3	2	0.166666666666
3	4	4	9	1	5	4	0.166666666666
1	7	2	6	2	5	2	0.166666666666
5	6	3	0	1	3	2	0.166666666666
0	5	4	4	2	3	2	0.166666666666
3	3	4	7	2	3	2	0.166666666666
3	4	0	10	6	10	10	0.166666666666
3	7	1	4	5	1	2	0.166666666666
10	6	5	0	0	0	0	0.166666666666
3	5	0	6	5	1	1	0.166666666666
3	4	3	5	0	3	2	0.166666666666
2	6	4	1	2	3	1	0.166666666666
2	6	3	0	4	0	0	0.166666666666
8	4	3	10	0	3	2	0.166666666666
2	7	3	7	4	7	5	0.166666666666
6	5	7	7	0	1	2	0.166666666666
4	4	5	6	0	3	2	0.166666666666
0	5	4	4	1	3	2	0.166666666666
7	4	2	6	0	0	2	0.166666666666
2	4	3	2	0	3	2	0.166666666666
3	6	1	4	1	3	4	0.166666666666
0	6	1	4	1	3	4	0.166666666666
2	5	2	10	2	5	5	0.166666666666
4	6	1	10	2	1	2	0.166666666666
3	4	5	3	0	3	2	0.166666666666
4	5	3	6	1	3	4	0.166666666666
1	8	2	4	2	3	4	0.166666666666
4	5	3	3	0	0	1	0.166666666666
5	6	2	6	0	3	2	0.166666666666
5	10	2	8	0	1	5	0.166666666666
3	6	3	9	2	7	5	0.166666666666
5	4	2	4	1	1	1	0.166666666666
1	5	2	8	1	3	4	0.166666666666
3	5	3	6	1	3	2	0.166666666666
2	5	3	10	4	5	5	0.166666666666
1	5	3	10	4	5	5	0.166666666666
4	5	3	10	4	5	5	0.166666666666
4	5	3	10	4	5	5	0.166666666666
3	6	3	10	6	7	4	0.166666666666
1	4	1	10	4	10	7	0.166666666666
6	6	4	6	0	3	2	0.166666666666
4	3	4	6	0	1	4	0.166666666666
2	2	5	4	0	3	2	0.166666666666
4	4	4	4	1	3	1	0.166666666666
2	6	2	6	4	5	8	0.166666666666
3	6	3	4	4	1	2	0.166666666666
5	7	4	9	1	3	5	0.166666666666
3	5	3	4	10	5	4	0.166666666666
5	2	5	6	0	1	2	0.166666666666
5	6	4	10	0	1	1	0.166666666666
4	4	5	4	0	1	2	0.166666666666
2	6	1	4	4	5	2	0.166666666666
4	5	4	4	0	1	1	0.166666666666
4	2	4	10	2	3	4	0.166666666666
5	9	3	10	0	3	4	0.166666666666
3	5	2	5	2	3	2	0.166666666666
3	5	3	9	1	5	4	0.166666666666
5	4	4	5	1	3	2	0.166666666666
1	3	4	10	2	3	2	0.166666666666
1	5	2	10	5	5	4	0.166666666666
4	5	5	10	1	3	2	0.166666666666
2	6	4	2	1	1	2	0.166666666666
1	6	3	10	1	1	1	0.166666666666
4	7	5	10	2	3	4	0.166666666666
3	5	5	4	0	1	1	0.166666666666
4	7	4	4	1	0	2	0.166666666666
2	6	4	3	1	1	2	0.166666666666
7	5	3	0	0	0	1	0.166666666666
5	6	4	10	1	3	8	0.166666666666
2	5	2	7	4	5	2	0.166666666666
4	5	3	4	2	3	1	0.166666666666
4	7	4	7	1	3	2	0.166666666666
5	4	3	6	0	3	5	0.166666666666
4	4	5	8	2	3	5	0.166666666666
1	6	1	10	4	3	4	0.166666666666
6	4	1	3	0	1	2	0.166666666666
3	5	4	7	1	3	4	0.166666666666
0	6	5	2	2	3	2	0.166666666666
1	6	2	10	2	3	4	0.166666666666
2	4	4	5	1	3	2	0.166666666666
0	6	4	6	1	3	4	0.166666666666
2	6	2	4	1	3	4	0.166666666666
3	4	4	4	4	3	1	0.166666666666
7	6	4	3	0	3	2	0.166666666666
3	5	2	0	0	0	4	0.166666666666
3	4	3	4	0	1	1	0.166666666666
4	3	4	10	2	3	2	0.166666666666
0	5	4	10	4	3	4	0.166666666666
0	5	4	10	4	3	4	0.166666666666
1	6	4	2	5	0	2	0.166666666666
2	5	2	10	4	10	10	0.166666666666
7	3	2	4	0	3	1	0.166666666666
3	3	3	5	0	3	2	0.166666666666
